LOCALIDAD;CATEGORIA;ANO;MES;NUMERO_COMPARENDOS
BARRIOS UNIDOS;C;2015;ENERO;231
BARRIOS UNIDOS;C;2015;FEBRERO;463
BARRIOS UNIDOS;C;2015;JULIO;527
BARRIOS UNIDOS;C;2015;JUNIO;588
BARRIOS UNIDOS;C;2015;MARZO;341
BARRIOS UNIDOS;C;2015;MAYO;575
BARRIOS UNIDOS;C;2015;NOVIEMBRE;418
BARRIOS UNIDOS;C;2015;OCTUBRE;559
BARRIOS UNIDOS;C;2015;SEPTIEMBRE;517
BARRIOS UNIDOS;C;2016;ABRIL;576
BARRIOS UNIDOS;C;2016;AGOSTO;1128
BARRIOS UNIDOS;C;2016;DICIEMBRE;716
BARRIOS UNIDOS;C;2016;ENERO;810
BARRIOS UNIDOS;C;2016;FEBRERO;733
BARRIOS UNIDOS;C;2016;JULIO;533
BARRIOS UNIDOS;C;2016;JUNIO;705
BARRIOS UNIDOS;C;2016;MARZO;449
BARRIOS UNIDOS;C;2016;MAYO;594
BARRIOS UNIDOS;C;2016;NOVIEMBRE;871
BARRIOS UNIDOS;C;2016;OCTUBRE;1137
BARRIOS UNIDOS;C;2016;SEPTIEMBRE;1436
BARRIOS UNIDOS;C;2017;ABRIL;1047
BARRIOS UNIDOS;C;2017;AGOSTO;969
BARRIOS UNIDOS;C;2017;ENERO;1079
BARRIOS UNIDOS;C;2017;FEBRERO;986
BARRIOS UNIDOS;C;2017;JULIO;952
BARRIOS UNIDOS;C;2017;JUNIO;926
BARRIOS UNIDOS;C;2017;MARZO;1393
BARRIOS UNIDOS;C;2017;MAYO;1183
BARRIOS UNIDOS;C;2017;OCTUBRE;17
BARRIOS UNIDOS;C;2017;SEPTIEMBRE;667
BARRIOS UNIDOS;D;2015;ABRIL;12
BARRIOS UNIDOS;D;2015;AGOSTO;19
BARRIOS UNIDOS;D;2015;DICIEMBRE;39
BARRIOS UNIDOS;D;2015;ENERO;19
BARRIOS UNIDOS;D;2015;FEBRERO;19
BARRIOS UNIDOS;D;2015;JULIO;24
BARRIOS UNIDOS;D;2015;JUNIO;7
BARRIOS UNIDOS;D;2015;MARZO;17
BARRIOS UNIDOS;D;2015;MAYO;20
BARRIOS UNIDOS;D;2015;NOVIEMBRE;23
BARRIOS UNIDOS;D;2015;OCTUBRE;36
BARRIOS UNIDOS;D;2015;SEPTIEMBRE;29
BARRIOS UNIDOS;D;2016;ABRIL;23
BARRIOS UNIDOS;D;2016;AGOSTO;61
BARRIOS UNIDOS;D;2016;DICIEMBRE;32
BARRIOS UNIDOS;D;2016;ENERO;44
BARRIOS UNIDOS;D;2016;FEBRERO;26
BARRIOS UNIDOS;D;2016;JULIO;43
BARRIOS UNIDOS;D;2016;JUNIO;56
BARRIOS UNIDOS;D;2016;MARZO;15
BARRIOS UNIDOS;D;2016;MAYO;39
BARRIOS UNIDOS;D;2016;NOVIEMBRE;40
BARRIOS UNIDOS;D;2016;OCTUBRE;54
BARRIOS UNIDOS;D;2016;SEPTIEMBRE;94
BARRIOS UNIDOS;D;2017;ABRIL;49
BARRIOS UNIDOS;D;2017;AGOSTO;89
BARRIOS UNIDOS;D;2017;ENERO;46
BARRIOS UNIDOS;D;2017;FEBRERO;46
BARRIOS UNIDOS;D;2017;JULIO;89
BARRIOS UNIDOS;D;2017;JUNIO;67
BARRIOS UNIDOS;D;2017;MARZO;56
BARRIOS UNIDOS;D;2017;MAYO;55
BARRIOS UNIDOS;D;2017;OCTUBRE;2
BARRIOS UNIDOS;D;2017;SEPTIEMBRE;73
BARRIOS UNIDOS;E;2015;JULIO;1
BARRIOS UNIDOS;E;2016;FEBRERO;1
BARRIOS UNIDOS;E;2016;JULIO;1
BARRIOS UNIDOS;F;2015;ABRIL;4
BARRIOS UNIDOS;F;2015;AGOSTO;10
BARRIOS UNIDOS;F;2015;DICIEMBRE;5
BARRIOS UNIDOS;F;2015;ENERO;1
BARRIOS UNIDOS;F;2015;FEBRERO;6
BARRIOS UNIDOS;F;2015;JULIO;5
BARRIOS UNIDOS;F;2015;JUNIO;6
BARRIOS UNIDOS;F;2015;MARZO;6
BARRIOS UNIDOS;F;2015;MAYO;12
BARRIOS UNIDOS;F;2015;NOVIEMBRE;10
BARRIOS UNIDOS;F;2015;OCTUBRE;10
BARRIOS UNIDOS;F;2015;SEPTIEMBRE;21
BARRIOS UNIDOS;F;2016;ABRIL;9
BARRIOS UNIDOS;F;2016;AGOSTO;2
BARRIOS UNIDOS;F;2016;DICIEMBRE;7
BARRIOS UNIDOS;F;2016;ENERO;20
BARRIOS UNIDOS;F;2016;FEBRERO;50
BARRIOS UNIDOS;F;2016;JULIO;4
BARRIOS UNIDOS;F;2016;JUNIO;12
BARRIOS UNIDOS;F;2016;MARZO;9
BARRIOS UNIDOS;F;2016;MAYO;6
BARRIOS UNIDOS;F;2016;NOVIEMBRE;9
BARRIOS UNIDOS;F;2016;OCTUBRE;8
BARRIOS UNIDOS;F;2016;SEPTIEMBRE;7
BARRIOS UNIDOS;F;2017;ABRIL;4
BARRIOS UNIDOS;F;2017;AGOSTO;15
BARRIOS UNIDOS;F;2017;ENERO;9
BARRIOS UNIDOS;F;2017;FEBRERO;16
BARRIOS UNIDOS;F;2017;JULIO;11
BARRIOS UNIDOS;F;2017;JUNIO;12
BARRIOS UNIDOS;F;2017;MARZO;20
BARRIOS UNIDOS;F;2017;MAYO;9
BARRIOS UNIDOS;F;2017;SEPTIEMBRE;14
BARRIOS UNIDOS;G;2015;DICIEMBRE;9
BARRIOS UNIDOS;G;2015;FEBRERO;3
BARRIOS UNIDOS;G;2015;JULIO;2
BARRIOS UNIDOS;G;2015;MARZO;3
BARRIOS UNIDOS;G;2015;MAYO;3
BARRIOS UNIDOS;G;2015;NOVIEMBRE;1
BARRIOS UNIDOS;G;2015;OCTUBRE;3
BARRIOS UNIDOS;G;2015;SEPTIEMBRE;2
BARRIOS UNIDOS;G;2016;ABRIL;2
BARRIOS UNIDOS;G;2016;AGOSTO;4
BARRIOS UNIDOS;G;2016;DICIEMBRE;1
BARRIOS UNIDOS;G;2016;ENERO;4
BARRIOS UNIDOS;G;2016;FEBRERO;2
BARRIOS UNIDOS;G;2016;JULIO;8
BARRIOS UNIDOS;G;2016;JUNIO;15
BARRIOS UNIDOS;G;2016;MARZO;2
BARRIOS UNIDOS;G;2016;MAYO;1
BARRIOS UNIDOS;G;2016;NOVIEMBRE;10
BARRIOS UNIDOS;G;2016;OCTUBRE;5
BARRIOS UNIDOS;G;2016;SEPTIEMBRE;3
BARRIOS UNIDOS;G;2017;ABRIL;7
BARRIOS UNIDOS;G;2017;AGOSTO;53
BARRIOS UNIDOS;G;2017;ENERO;4
BARRIOS UNIDOS;G;2017;FEBRERO;31
BARRIOS UNIDOS;G;2017;JULIO;12
BARRIOS UNIDOS;G;2017;JUNIO;29
BARRIOS UNIDOS;G;2017;MARZO;35
BARRIOS UNIDOS;G;2017;MAYO;19
BARRIOS UNIDOS;G;2017;SEPTIEMBRE;28
BARRIOS UNIDOS;H;2015;ABRIL;14
BARRIOS UNIDOS;H;2015;AGOSTO;28
BARRIOS UNIDOS;H;2015;DICIEMBRE;7
BARRIOS UNIDOS;H;2015;ENERO;10
BARRIOS UNIDOS;H;2015;FEBRERO;24
BARRIOS UNIDOS;H;2015;JULIO;38
BARRIOS UNIDOS;H;2015;JUNIO;14
BARRIOS UNIDOS;H;2015;MARZO;5
BARRIOS UNIDOS;H;2015;MAYO;16
BARRIOS UNIDOS;H;2015;NOVIEMBRE;8
BARRIOS UNIDOS;H;2015;OCTUBRE;11
BARRIOS UNIDOS;H;2015;SEPTIEMBRE;24
BARRIOS UNIDOS;H;2016;ABRIL;9
BARRIOS UNIDOS;H;2016;AGOSTO;43
BARRIOS UNIDOS;H;2016;DICIEMBRE;29
BARRIOS UNIDOS;H;2016;ENERO;25
BARRIOS UNIDOS;H;2016;FEBRERO;24
BARRIOS UNIDOS;H;2016;JULIO;18
BARRIOS UNIDOS;H;2016;JUNIO;27
BARRIOS UNIDOS;H;2016;MARZO;13
